"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"1","ENSG00000000003",4401.0231011653,-0.0645193388716135,0.0818104918596661,0.414623195313928,0.548616572691208,"TSPAN6"
"2","ENSG00000000419",3205.03715628648,0.0213911054164213,0.0685392856649164,0.800706298695402,0.867431823586686,"DPM1"
"3","ENSG00000000457",967.572326853322,-0.0514458844018935,0.0738832955378459,0.489886681171393,0.619143530885179,"SCYL3"
"4","ENSG00000000460",293.483544061636,-0.525060810111273,0.179154470238465,0.0011301464833208,0.00366858480990522,"C1orf112"
"5","ENSG00000000971",231.200790854628,0.390165781255666,0.152369509418192,0.00558790679940046,0.0152394542444261,"CFH"
"6","ENSG00000001036",8836.49252516518,-0.0216649370964087,0.0704021143663413,0.770985313787946,0.844607231142032,"FUCA2"
"7","ENSG00000001084",3167.22629630657,-0.207167337805974,0.0671904029215891,0.001657908583812,0.0051757901681884,"GCLC"
"8","ENSG00000001167",4074.86419672621,0.117466468244447,0.0593617340493866,0.0552460949930877,0.109649883191168,"NFYA"
"9","ENSG00000001460",1940.08129790969,0.121205120892462,0.0649493692226576,0.0628451746818776,0.122355602335973,"STPG1"
"10","ENSG00000001461",14605.1173424709,0.787776879012461,0.0777061521011762,7.17851905402168e-25,2.36455690018607e-23,"NIPAL3"
"11","ENSG00000001497",4451.72848568286,0.00537772360224215,0.0625813208762185,0.990982723517676,0.994016130629985,"LAS1L"
"12","ENSG00000001561",1716.13785743105,0.366067085509392,0.0940541523135688,6.10599317150332e-05,0.000262142548492415,"ENPP4"
"13","ENSG00000001617",3191.32742484263,0.812627620954458,0.104229805539693,1.0658534409417e-15,1.73587065111722e-14,"SEMA3F"
"14","ENSG00000001626",95.8844157967335,0.136029792786217,0.178092779440456,0.395254566710363,0.528544874051725,"CFTR"
"15","ENSG00000001629",8094.26571782448,0.123398586848171,0.0566827543844216,0.0297447931969106,0.065055182911448,"ANKIB1"
"16","ENSG00000001630",2056.43957345089,-0.0889637323450517,0.110434960880646,0.39886212581344,0.532282935206449,"CYP51A1"
"17","ENSG00000001631",636.268259078636,-0.0849016963548265,0.087178804665526,0.319543923341447,0.450070535573407,"KRIT1"
"18","ENSG00000002016",1461.10298457806,-0.0210676425562688,0.0758116533490568,0.778063574336833,0.849389792868802,"RAD52"
"19","ENSG00000002079",69.2611791752807,1.22749550905592,0.256955112474365,1.52519625305626e-07,1.01285394778432e-06,"MYH16"
"20","ENSG00000002330",675.471669622952,-0.135176840072253,0.0939268293125936,0.136973394670076,0.230831383144127,"BAD"
"21","ENSG00000002549",8110.04099477752,0.0170742679819488,0.0624705018979503,0.760352537654708,0.836929422057415,"LAP3"
"22","ENSG00000002587",6229.59993823103,1.38364863442722,0.0663997934215053,1.66506212698447e-97,1.37592046893334e-94,"HS3ST1"
"23","ENSG00000002726",84.0328857012354,0.804834722701746,0.284206685644096,0.000630663593322356,0.00217223491386095,"AOC1"
"24","ENSG00000002822",43.6103371867078,0.368921365358282,0.270564471108956,0.0823778425202876,0.152852999603689,"MAD1L1"
"25","ENSG00000002834",59440.6258495904,0.0219795740810457,0.0658929545743376,0.737847796047441,0.820761747142553,"LASP1"
"26","ENSG00000002919",1905.80497331259,0.260873940741639,0.0769331523041984,0.000518221060791389,0.00182479498482447,"SNX11"
"27","ENSG00000003056",9413.96734833429,-0.0995386695715556,0.068458789999277,0.130300670972434,0.221987679500007,"M6PR"
"28","ENSG00000003096",19254.1950010091,0.71489481500472,0.0907540103425587,7.03358582713495e-16,1.16547804908916e-14,"KLHL13"
"29","ENSG00000003147",1755.16987425499,0.199899490071879,0.0802943643245834,0.0107253882313885,0.02694959396163,"ICA1"
"30","ENSG00000003249",5483.33248397171,0.380011553230775,0.064662981988455,4.16495341247203e-09,3.45522062668893e-08,"DBNDD1"
"31","ENSG00000003393",6300.14852746296,0.197602821545452,0.0701574956295979,0.00420783159715354,0.0118839200463896,"ALS2"
"32","ENSG00000003400",2216.78833312235,-0.711055972534713,0.141167100087477,8.62021267735086e-08,5.95549844222939e-07,"CASP10"
"33","ENSG00000003402",15190.988293926,0.489936733003621,0.080017104251575,6.5684118466493e-10,5.99900218920791e-09,"CFLAR"
"34","ENSG00000003436",2680.56208692633,-0.0362195931471374,0.104878986539588,0.716177505185834,0.806235246316529,"TFPI"
"35","ENSG00000003509",1432.89643459625,0.178591080557071,0.0723021078176591,0.0117136548435404,0.0291327808694708,"NDUFAF7"
"36","ENSG00000003756",8667.79376392404,-0.193562034529492,0.09290619426327,0.0363136204382112,0.0770888718919515,"RBM5"
"37","ENSG00000003987",82.0593834457688,0.26339753231068,0.194785584073012,0.12474707980139,0.214293474214138,"MTMR7"
"38","ENSG00000003989",671.021019997782,0.19295274685784,0.182622519247485,0.229033516894495,0.346881107825067,"SLC7A2"
